INSTNM,,,,CITY,,STABBR,CONTROL,PREDDEG,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
HARRY M AYERS STATE TECHNICAL COLLEGE,,,,ANNISTON,,AL,Public,Predominantly certificate-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
HERZING COLLEGE,,,,BIRMINGHAM,,AL,Private for-profit,Predominantly associate's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
HUNTINGDON COLLEGE,,,,MONTGOMERY,,AL,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
HUNTSVILLE HOSPITAL SCHOOL OF RADIOLOGIC TECHN,,,,HUNTSVILLE,,AL,Private nonprofit,Not classified,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
INTERNATIONAL BIBLE COLLEGE,,,,FLORENCE,,AL,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
J F DRAKE STATE TECHNICAL COLLEGE,,,,HUNTSVILLE,,AL,Public,Predominantly certificate-degree granting,,,,,"Outlying Areas (AS, FM, GU, MH, MP, PR, PW, VI)"
JACKSONVILLE STATE UNIVERSITY,,,,JACKSONVILLE,,AL,Public,Predominantly bachelor's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
JEFFERSON DAVIS COMMUNITY COLLEGE,,,,BREWTON,,AL,Public,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
JEFFERSON STATE COMMUNITY COLLEGE,,,,BIRMINGHAM,,AL,Public,Predominantly associate's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
JOHN C CALHOUN STATE COMMUNITY COLLEGE,,,,DECATUR,,AL,Public,Predominantly associate's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
JOHN M PATTERSON STATE TECHNICAL COLLEGE,,,,MONTGOMERY,,AL,Public,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
JUDSON COLLEGE,,,,MARION,,AL,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
LAWSON STATE COMMUNITY COLLEGE,,,,BIRMINGHAM,,AL,Public,Predominantly associate's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
UNIVERSITY OF WEST ALABAMA,,,,LIVINGSTON,,AL,Public,Predominantly bachelor's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
LURLEEN B WALLACE STATE JUNIOR COLLEGE,,,,ANDALUSIA,,AL,Public,Predominantly associate's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
